Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
Gm3258;Supt4h1	3.55530119518184	3.54035894848029	3.44130853823985	3.35267059585001	3.39751397400476	3.36265052286543	3.28171580758177	3.51752092704663	3.49978994134277	3.55805696367712	3.42373357484734	3.35582336916131	3.31137237680558	3.24878561297035
Gm5483	6.00803192726029	5.89540722183826	5.97312309743046	5.90016809505932	5.93458656626192	5.87677382676849	5.79879340825294	6.03429838034248	5.82869521882048	6.01624061710011	5.97279564769066	5.9817747760556	5.8304683919986	5.84342881918391
Gmds	3.34717818702446	3.34311728099389	3.37679345638696	3.28143647658262	3.30612853546476	3.20915440928981	3.24494223398903	3.34161484933756	3.38332405073248	3.34962506750492	3.32596408320711	3.21626060512163	3.23371442270445	3.09251341261768
Gmfg	6.95795296373127	6.92177829053672	6.98840451046902	6.8590236205348	6.84142561292754	6.84785194061926	6.80152336956376	6.92382018282643	6.93756310136991	6.96983215801666	6.87084084055242	6.89191246457907	6.8959319298273	6.68025873103237
Gmppb	4.6530889673444	4.74789456741545	4.66116470217807	4.6779151851105	4.68047331884866	4.62319572940429	4.51916546483614	4.85080160979203	4.83479380089555	4.75190978102119	4.54495923507367	4.55805349740501	4.60607663476662	4.55466785615579
Gmps	4.13280516626221	4.13784870236977	4.14840503106172	4.17922825480299	3.97306563110992	3.95499619067801	3.94549393344932	4.16376404072425	4.02981116781883	4.0059126565948	4.05587037792416	3.95821265939226	4.00989622050547	3.89446373140742
Gna13	2.10969875449303	2.05470452296242	1.96721218913402	2.004618373571	1.92703815142353	1.82055511747824	1.76985867630635	2.00448536770186	2.07626836498253	2.0440897320996	1.92304193352395	1.83731173650908	1.87451313836681	1.76919151514179
Gnai3	3.58467061517563	3.75685060908119	3.57754584602489	3.61067802201469	3.62511110836785	3.4955684090444	3.46679171298502	3.67122742618146	3.70590815504658	3.5895264523975	3.4708640705092	3.58714697466457	3.45600096420588	3.50931247354536
Gnaq	2.46258467311501	2.34449944001273	2.2424493277224	2.30291335920398	2.1361367787445	2.09495106011902	2.03468126291004	2.39296449705643	2.36683894145553	2.31584319871153	2.25500792629674	2.19396122214311	2.13427070931793	2.056743093284
Gnb1	6.19629777515958	6.2905668596887	6.27672251374703	6.25647841203835	6.12509001957036	6.07677351089187	6.10898829541618	6.21997047223507	6.25940918356319	6.2954953030579	6.20372280440337	6.15184978785451	6.09992703763911	6.08640764466303
Gng12	5.98167846344913	5.93371299851046	5.92733360556527	5.84920664114149	5.79710195236261	5.74245487156835	5.6389086758214	6.00601759844869	5.98242390081293	5.94997248137447	5.83589017139832	5.82788572423725	5.79596647771441	5.69695836771271
Gng2	4.58287513190713	4.49831289519118	4.50695890550257	4.5099640235263	4.33688486409186	4.34462006569744	4.30560233000032	4.56447028204806	4.52348002931389	4.60459716413872	4.47743759758984	4.47521260098634	4.41307374703589	4.33503179262404
Gpd1l	4.06604550859493	4.11070900191654	4.03835933064941	4.05800495582297	3.99666175619008	3.86017375009065	3.93644522351474	4.1558401611953	4.03382130847785	4.08416249474064	4.04995580119995	3.98184172113484	3.94422320664238	4.01995411224031
Gpd2	4.83480430215701	4.90804501654247	4.89024277277034	4.74783825871025	4.76739943447852	4.71118616102372	4.46594734831729	4.85666820309581	4.80322999224092	4.85339730117303	4.66120970582253	4.79745445930014	4.65559223314147	4.53334582268337
Gpi1	8.0278460510621	8.05529252080924	8.06323727520296	7.98952730033186	7.89986029655024	7.90458632989565	7.93099658867618	8.06553486885167	7.90336736288984	7.87858979296909	8.05119418455071	8.04533396928604	7.92925961685949	7.94950301061321
Gpsm3	5.06068093503572	4.98800982722889	4.93802301444004	4.96961455015062	4.83084741479163	4.85909305857571	4.7442755807913	5.05211784144192	4.99794442116302	4.91506743197019	4.92944116317835	4.85399534483688	4.78268753271567	4.76930820156927
Grb2	5.21267514099744	5.11947061829225	5.04784915085919	5.06430806785017	4.99418622534713	4.90424761626072	4.79636952777893	5.09672161607219	5.14120826555187	5.13021500499149	5.20402216101113	4.98338444438606	4.87374843728109	4.83653674894033
Grn	6.0403731508049	6.1915937923403	6.15670479404649	6.04448455019384	6.01750684778063	5.98335578231195	5.83387961943324	6.07056478034886	6.18799179803594	5.98854439082373	6.12072363824296	5.98720078546385	6.02566683672852	5.8672326721089
Gsdmd	4.71944103659705	4.81067132032089	4.81284059030087	4.73859050099595	4.75701627036286	4.72004762604387	4.69854544993758	4.80688173051944	4.82114078480534	4.76936408680775	4.86187756804657	4.88191939698825	4.75896562749503	4.636420654084
Gsk3b	3.13964011705941	3.06871869896606	2.96082095074551	2.91741810380184	2.82881976090492	2.72140874025514	2.52931414751516	2.9803887927215	3.07167146875553	2.95608916751538	2.88906675678211	2.72415173318148	2.74144523177942	2.56404937656749
Gspt1	5.19782144235558	5.11996490081678	5.14812259827856	5.10827890011466	5.07985987742261	4.97530188129518	5.07780046042408	5.09999120333117	5.08098576804181	5.1523603367822	5.08381781472387	5.1120107257685	5.07315128271614	5.07477038718713
Gsr	5.48143444744538	5.50443174682323	5.32192844480443	5.36757308614033	5.46719984586774	5.3052038607399	5.20918373342785	5.49665624712562	5.46981147459519	5.42752831108356	5.41124867866745	5.28849101334854	5.26986526385711	5.2156860983293
Gsto1	6.32661892035555	6.24338224275189	6.24353292635333	6.27148942348297	6.22614827305749	6.21979453017922	6.20206894998297	6.32568571920851	6.2435660998098	6.32449700034523	6.27306841682505	6.19685721427946	6.39341109414694	6.22697469629333
Gstp1	6.26296874588205	6.23869757604333	6.2195003602763	6.1396366539005	6.09207216501056	6.19887672945859	6.12228954630287	6.19196147112187	6.21893903711793	6.16250666144199	6.10418818535469	6.19730883140845	6.07643398218447	6.100836819726
Gtf2f2	3.94406386007672	4.01874125172159	4.0384344180488	3.96661901958255	3.89315092569929	3.90132393977727	3.82585977977696	4.07704865816294	4.14062600508783	4.04391143894607	4.05032882902813	4.01796199027317	3.85521878583636	3.88194198311301
Gtpbp4	1.46508385483194	1.25934124917071	1.29127561779423	1.36906830663316	1.23543602214464	1.14232696649761	1.12410486107874	1.35072464671704	1.31657556239933	1.29242296259047	1.32998481397989	1.22799231827873	1.22540743670921	1.04487931491436
Gyk	3.19785062017188	3.12240212446602	3.20776330653385	3.04672219686597	2.99759581417164	2.83158235377551	2.83773806784492	3.21799900958652	3.18994516067731	3.19010790517874	3.11104023432699	3.04078240683357	2.91286733363237	2.80613541590457
H2-Ke6	3.65260084153156	3.63477475996051	3.6730029669601	3.60423940302637	3.61452843601773	3.53039170656409	3.59509451377479	3.68730073374308	3.62539562295765	3.55556404333211	3.58810798105041	3.54567973818291	3.56466739506527	3.46133160621071
H2afy	6.36270210995582	6.40926613748129	6.30578800807715	6.27954067106809	6.2937704284209	6.29658529870837	6.21231861555404	6.44069395388327	6.39580382275	6.38890118754613	6.29287020801182	6.25743694150064	6.19370979695933	6.22706245001756
H6pd	1.66892824770394	1.50732489584526	1.55517666854385	1.49106951767523	1.44470010298398	1.33473031478018	1.15360517420977	1.56306530695457	1.69740671953133	1.69852566968063	1.45633422012951	1.45551313337794	1.36662844777662	1.2753104476884
Hacl1	1.97537637755222	1.91445877655402	1.99780069697301	1.94900811410667	1.81681735005119	1.82047440447001	1.86016660362185	1.97680419932475	1.8686220310825	1.96098087800126	1.88310425517003	1.84763648017102	1.76603304617985	1.78693498027933
Hadhb	5.20481518829441	5.25687729982877	5.20159624213593	5.08735316079107	5.10524310083422	5.10420660385053	5.0556402521461	5.17057930267228	5.22613096731184	5.18651443363644	5.01923570707767	5.13004243718356	5.06493522445001	4.96714704040673
Hars	4.74133575106805	4.72714503250884	4.71038261926826	4.74237193355635	4.67482565381985	4.59207286283496	4.69563071461256	4.76953408157158	4.71417010988328	4.79738743897733	4.80930475752463	4.7160599074823	4.61191870698962	4.58635972072023
Hcfc1	3.88829063954492	3.95636500659653	3.8753030080216	3.90633576142878	3.80139817454883	3.85129621950857	3.75126029505757	3.87888014264561	3.93455108418434	3.94312528287663	3.9476314140603	3.89571965882299	3.8516891320028	3.73760542037628
Hck	3.99128052552201	3.87769323393113	3.89456377034227	3.80724968546777	3.72321241749858	3.73697936975072	3.73580822509004	3.94041020223807	3.95982735192116	3.94389963253104	3.7769733758725	3.86427452021858	3.68408121182423	3.56822189286659
Hdac1	4.23151500056371	4.16085085574242	4.06128908909852	4.13161332712013	4.03793042226554	4.0161796497581	4.03803644572283	4.22037643435272	4.25241507492858	4.10953419388607	4.11318887525813	4.05441881846181	4.01753685031906	3.98065581220447
Hdgf	5.51737311195782	5.42525221033026	5.36310612053258	5.39370224176316	5.41063965889214	5.31870542381453	5.29680651215439	5.51285300385647	5.49611770579805	5.32061066358806	5.37682927110084	5.38150580562405	5.31546621850378	5.32256042301977
Hdh;Htt	0.599760696628965	0.54600509213995	0.533090356352872	0.347512498311547	0.31248034412571	0.105172653043092	0.0164707557570813	0.545620816384012	0.640307032258869	0.528317629968018	0.382923919304012	0.258748704921256	0.140360619988424	0.0439067386557352
Hectd3	2.41762013729141	2.3321319894479	2.23695007972428	2.21266680398961	2.27762124749876	2.20714618340314	2.11887792099965	2.38736813376763	2.23541586076755	2.31311096567085	2.26889680803588	2.26175951183218	2.23148902554742	2.10820900472886
Hexb	6.18333095270095	6.04745017574281	5.99727114366087	6.0351765884391	6.0727210765367	5.89732257478934	6.01887602810343	6.06614503311498	6.04068962448753	6.03271141318897	6.06162710945954	6.00173486452606	5.99912233173635	5.8879484460677
Hexim1	1.72643589424805	1.54858695551006	1.64941074681928	1.53051394149538	1.48399027047471	1.3342824376273	1.22295881267353	1.65755172366908	1.68732658900056	1.67253867524147	1.57478981580408	1.48585297724958	1.3787236760133	1.25484756248587
Hgs	3.85545244436224	3.99877277501668	3.87398632494314	3.85453900053176	3.88267284550756	3.69925911810418	3.73283248229509	4.02181684797618	3.93591481686261	3.83749841536073	3.87208586050488	3.92173482865465	3.8380016589903	3.68538854108566
Hibadh;AK042028	5.47637242164309	5.56487121041215	5.37466776211564	5.35381619172581	5.39678326631992	5.35723385459351	5.27948869953965	5.43548452206816	5.42697319718386	5.40322749778856	5.47099360504854	5.3437781436512	5.34371545099356	5.35893534495048
Hint1	7.49208793800073	7.43744591291404	7.50766894209455	7.41505837550562	7.4986289934221	7.40772989358028	7.37387726805378	7.47124011984419	7.47259513514802	7.53997502041675	7.48777649984877	7.40123228623457	7.45742255908873	7.3961663344246
