Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Slc25a24	91.06465306	61.99295786	45.69346967	21.08872992	33.49828167	34.63476181	28.95109451	72.18380585	54.79109397	41.44761853	25.49060809	21.14662023	23.09017589	18.4534
Dlat	49.62632642	32.81930739	36.07433217	26.96957925	24.21273868	21.9943025	22.59564164	40.12549101	25.45736148	34.70976898	28.13396845	21.68137829	21.49771434	26.28176123
Lars	33.00408179	28.42494348	24.56019172	17.13317525	12.44396017	14.45703041	15.28322238	38.94269109	38.56928985	31.70921375	21.93189203	13.03066261	19.09180592	18.44211592
Ckap4	45.27855143	56.91668018	39.18050296	24.68633697	19.87491294	17.60881571	18.93309857	80.65111243	45.40785924	42.49215132	25.63762847	22.06609361	29.84905922	15.86453244
Qars	104.7414764	72.38508298	68.9537599	51.65944395	42.1657294	48.16776548	59.0860314	54.97846693	50.29731574	47.85348377	43.20445085	28.45265096	26.2452473	28.60678966
Acbd3	79.37924547	89.10781776	139.8999303	90.26207783	81.85002934	74.32449839	77.58775409	119.1577423	172.0886229	144.9267033	163.2079796	108.4982857	138.4623251	138.3236893
Hadha	73.14289484	48.16390574	61.45154431	50.92891115	44.45216393	56.99535184	63.41396451	41.06499573	36.99999016	40.85755866	29.50773097	40.94537571	28.85312093	34.40046275
Coq3	10.20478833	11.8032419	10.7677328	12.54374415	14.66432629	12.93229209	10.20466926	6.43359968	16.90100036	12.65311266	5.856124149	11.76151076	4.445539873	5.906719797
Rassf2	23.70951504	46.14991775	20.14398453	14.17578088	14.90457313	16.36585819	18.18317627	31.60105062	32.9399866	22.65601393	12.3666259	14.42596206	20.13917837	20.60088106
Vrk2	35.65715777	33.1894465	30.19521019	44.88712021	58.13884307	45.79150995	42.40161777	48.2739779	54.29898618	31.84493992	58.62456694	74.42696534	87.83538407	56.94389933
Armc6	10.41432222	5.025849778	3.204835552	2.564473304	3.082844225	2.752751042	2.458753421	7.201121383	2.236235245	4.708976224	2.647490168	4.002832758	1.986469547	1.407578056
6330577E15Rik	132.9811593	145.7475824	138.4400442	118.3526386	135.6377228	94.58795211	92.30664478	241.1795985	233.845209	248.224811	214.0336264	182.4434204	181.2388868	190.6369529
Nars	136.067914	106.5397744	101.7928254	61.17902649	52.49630485	72.48507537	102.569978	124.0667031	153.6693097	109.9478862	80.82990538	62.97227521	86.58544918	104.8186489
Metap1	61.62895727	74.29297389	113.4435669	84.71995013	87.29431489	84.24545363	97.91563715	60.60448594	47.49847039	120.3627771	98.52423943	92.48070592	96.84148835	93.6954968
