Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
Adam10	4.927611866864582	4.740690450622109	4.495292631091236	4.440267512941507	4.205695176055945	3.841811583235536	3.7464371996810018	4.679836708718098	4.562207620320471	4.613092883213503	4.524309067440825	4.234811245824717	3.9742519994341734	3.753803672950812
Adam17	2.917736059335409	3.0542667816049236	3.7352014800744686	3.7744422512150546	3.7229740123927018	4.105686478146822	4.266640319122459	3.0121580929953575	3.082378543480419	3.7369123999488094	3.835518795162491	3.8576688161439443	4.243580165799786	4.431540232112203
Adar	3.942597774190527	3.783537674463612	3.864927924020757	3.8569194245895457	3.9550776417919424	4.117527724567217	4.306555359685138	3.763619746227005	3.747997306972401	3.8652714789482916	3.937458046552703	4.047426217850014	4.243010527154748	4.335632999423857
Add3	22.84587492953494	22.763000245121066	23.118883290937323	22.57652219346645	21.123672111916942	19.743576546715932	19.336858732529915	21.924031608846583	22.768879733214543	22.843133835729766	21.666875398795668	21.481941506132276	20.26564979338377	20.267248484393924
Adh5	354.2575822712791	363.5557142439185	370.21470231990605	363.5761839501898	364.8680742141264	347.9063967111026	338.96007130704675	364.2238878788598	362.1973878087094	343.8749970781472	352.127049794796	356.1909799155027	352.85862055627587	370.7079463087914
Adnp	4.432233098328395	4.508367575273203	4.191784757325488	4.0402715002472664	3.980315425578012	3.9197360156579855	4.012293529490983	4.029547670256187	4.19494407642429	4.286247140953736	4.3198364433682155	4.161368747241055	4.04095621995926	3.97523628797777
Adrm1	45.70367399370877	46.49439049808995	47.59848616520131	44.950833940028694	43.372020343003975	46.29994781995036	44.62156959524117	44.64453296423851	43.40261999972638	44.98938694498832	47.0581993515795	47.14535098704806	47.19768102148114	43.547684505485435
Adss	122.287722255262	124.35907967706613	117.77382567941865	120.99667247027142	121.74153515844361	118.32565465111242	123.01020683378088	127.5111156962462	121.89875631277434	119.52950441033005	117.60971772720005	123.90215031386984	122.90915549803526	115.35115300329362
Aftph	3.3985561617700593	3.4762541200543104	3.442326230103457	3.3451832812959235	3.1301045730829156	3.142485971795894	3.1975005304927624	3.517544873004472	3.4775913512419327	3.3150876221214025	3.3480894806228556	3.3682265352428438	3.1856456313614014	3.035846897154726
Agps	79.81393414046588	83.38103070509041	81.85166884251134	74.54698103952447	74.53208568718071	71.63220322998104	65.84581017035549	82.79484426404325	84.07239572968912	81.73773340388489	77.91867207911265	74.83466283883325	66.49581909493523	65.3449698047662
Ahcy	354.9136987942874	348.21073573207923	343.4293159747397	347.020263784763	328.3286177975152	324.16985000420914	306.8913865378411	344.06854146961535	352.6090123447813	348.42124426486845	337.7613755405487	317.16438749462293	312.8501890669661	340.0963901843126
Aip	170.5182489366138	166.0372641732364	165.5016859369115	159.11497367564343	156.59416299436953	160.20833452643376	171.8337250874239	164.34963098688718	164.2791968790643	167.00187571125107	161.95534995535616	162.31656265398038	164.4202744469741	162.77586180857253
Ak4	57.175775876968316	56.53393676130305	53.200519111254266	51.84225252770532	52.94739665441401	50.59593634522042	50.825421296000776	57.3817606156372	57.496141244386926	54.81768277257747	52.31321442325779	52.23030889623499	51.16776936946982	48.247788589729765
Akap13	7.614141875423655	7.4759827807064685	7.203680921876889	7.0184908582838075	6.571874067495307	6.459932742565993	6.563983078768953	7.667109295329508	7.455468294385868	6.897814419701368	6.762723501949276	6.648521633419434	6.519435570646379	6.806630900908521
Akr1a4	1910.2949035961938	1773.6768106464192	1723.9895046295082	1652.8468636489047	1674.7548140822146	1848.8392589578807	1901.428824134404	1749.918349498878	1710.092792051943	1653.295272390716	1690.874266027069	1741.1809969791516	1902.1230251187724	2034.3206227469186
Akr1b3	973.3678184703715	975.7426197896012	968.706820316016	958.0985189801202	934.9575731320855	941.1777043761979	927.2392293355364	942.7863544550005	951.6768993226427	987.1798871989033	975.844379952949	962.4335914167535	941.3403311206292	917.0087728962314
Akr1b8	51.67229282353678	52.933163286785586	52.3422364401237	52.46729022353385	53.74104591125824	55.074732654668914	55.07790548953135	52.0542395292955	55.19658198249166	54.01075778401717	51.98071030027134	53.466245092806076	53.72495112325659	53.11835046033043
