ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000230058	4.3018002211	4.3750656034	4.4467970267	4.587450528	6.2554210434	4.8265235845	4.3502827081	4.1001070613	4.2426564896	4.1424650544	4.0400492864	3.8247136464	3.973994136	4.2964711524	4.616781155	4.8674921073
ENSG00000136152	8.5162165039	8.7610775745	9.0068646077	9.5047773435	10.3745550975	9.7938250405	9.1705582799	8.6838720419	8.8465362034	8.9030816518	8.9596504577	9.0773162582	10.1011876371	9.800845263	9.1491338847	8.6256775043
ENSG00000120833	7.7485462126	7.8407572619	7.9333987654	8.1200025014	9.067364658	7.8928300633	6.998527918	6.3568769667	7.8746291983	8.0318461167	8.1893629618	8.509042443	7.8336941744	9.2592107679	7.4336548581	6.5182305947
ENSG00000101670	3.9150008446	3.9839454553	4.0533768776	4.1942989872	4.2267553739	4.1000217781	4.0797419894	4.0759947848	4.1242871621	4.0948741482	4.0656970802	4.0083436888	4.0752963026	4.12444198	4.0475791592	3.9848293701
ENSG00000145819	4.2061127845	4.1855805073	4.1651382732	4.1246375717	4.3469535751	4.2176138416	4.1119670722	4.037930417	4.0279311219	4.0664471673	4.1047960864	4.1843119234	4.2091208311	4.1883968783	4.2667276285	4.3150755805
ENSG00000196131	3.7189378048	3.699899015	3.6806823761	3.6401476454	3.7714516306	3.9970830036	3.9156271116	3.8217316521	4.144328734	4.0415833754	3.9388380168	3.7333472996	3.7333472996	3.9033592047	3.9451749719	3.9627116551
ENSG00000165511	4.7642461532	4.8199516874	4.8771205758	5.0002086799	4.7350544352	4.9877420632	4.9709765714	4.9286168861	5.0093899926	5.1091521928	5.2096072936	5.413474835	5.3169735003	5.1559719568	5.1085241976	5.0850306827
ENSG00000181626	4.0016332794	4.0343572777	4.0663074792	4.1261203134	4.0228984186	3.9228252515	4.031456533	4.13698933	3.9700793282	3.9579710643	3.9462371013	3.9242921642	3.8587019273	3.9469530305	4.1071618407	4.2377104537
ENSG00000124019	4.7505632092	4.7329991685	4.715647943	4.6820300059	4.3475965491	4.6333079486	4.7501415106	4.8332183126	4.6885877866	4.6990645879	4.7095413892	4.7304949917	4.8730869903	4.8388076683	4.8012909391	4.773361679
ENSG00000020633	9.5861499678	9.8335537514	10.0810843774	10.5776461511	11.2483199341	10.4955281369	9.8332023609	9.3492330533	10.0038312151	10.3599216381	10.7172569488	11.4409269181	10.9028704925	10.6186010372	10.4146476402	10.2729301706
ENSG00000129965	3.9235984294	3.9656867841	4.0077746733	4.0899897344	4.4743033795	4.0715583955	4.027445162	4.0171375355	3.9087392381	4.4664795026	5.0242270087	6.1398004392	3.9813734823	4.0082597755	3.7774959944	3.6411815094
ENSG00000145794	4.1239473552	4.1780072715	4.2322793367	4.338025216	4.1042204051	3.9026625761	3.871876171	3.863620347	3.8060481071	4.0409266983	4.2759359414	4.7486429468	3.9465266711	3.9871989973	3.9472871134	3.9099434384
ENSG00000169550	4.1415634532	4.0423284843	3.9431911206	3.7470055448	4.5816974518	4.0790023835	4.0545290331	4.0894962976	4.0028739011	3.9007559892	3.7993221115	3.5994311877	3.8608438951	3.9060976149	3.9169578227	3.9301336135
ENSG00000182508	3.8509639691	3.884037512	3.9181032535	3.9922821666	4.6517709534	4.180556666	4.0460711384	3.9829418583	4.0143405417	3.9592475823	3.9040163889	3.7931976463	3.8083768268	3.6551637485	3.5012235712	3.3857684382
